topic,rank,doc_snippet
3,2,left phao rayling venus cur sing n ame stil sighing sapho blafing vertues alas poore phao extreame loue requited meane fortune faire face serued greater fauours loue venus harde ned heart meruale cupid commeth saphoes lappe venus saphoes lap boy hither sapho sawcie saphoes sonne comman ded striken deepe disdaine phao phao entreated great despite vnhappy wag repent euery vaine heart venus collerick cupid giuen arrowes new bowe shoote worthy ladye loue yeelde impressions loue immo dest venus satisfie vnbrideled thoughtes hearte transgressest farre staye honour howe sayest cupid earth goddesse af
3,3,e loue placed pelting boyes base birth doubt weake discretion fayre o ladies eyes begin loue collours harts wont loath dianaes chase venus courte holy vowes turnd hollow thoughts madame loue thing beyonde reason reason doings deuine force worketh effects contra rie wee wishe vnreasonable wee ought lady vnacquainted passions loue beare foolish gyrles willing follow flie heere commeth telusa brought disguised nimphe c shoulder psiches burne fesseth himselfe cupid howe caught cu pid diana dare confesse cupid cupid shewe diana conquerer loose vntamed appetites mother venus vnder colour nimphe send
4,1,sweet yorke begin c layme neuills subiects command edward lords sonnes edward black prince prince wales william hatfield lionel duke clarence iohn gaunt duke fift edmond langley duke yorke thomas duke william edward black prince dyed father left behinde richard onely sonne edward s death raign d king till henry bullingbrooke duke sonne heire iohn gaunt crown d henry fourth seiz d realme depos d rightfull king sent poore queene france pumfret richard murthered father duke truth got lancaster crowne hold force right richard sonnes heire dead sonne reign d william hatfield dyed heire sonne duke c
4,2,poore clifford threats title crowne swords pleade field title traytor crowne father duke yorke grandfather roger mortimer earle march sonne henry fift dolphin french d townes prouinces talke france lord protector crown d moneths old old thinkes father teare crowne head sweet father head brother lou armes s fight cauilling sound drummes trumpets king flye sonnes peace peace king henry leaue plantagenet heare lords attentiue interrupts liue leaue kingly throne father warre vnpeople realme colours borne france england hearts great winding faint lords title s better farre proue henry king henry fo
4,3,king lord maior richard chawrye aldermen brethren certaine commoners waltham dinner rode hunting king gaue plenty lady maio aldermens wiues harts bucks tun wine mer ry noble kept drapers hall q elizabeth grey wife daughter richard wooduile earle riuers bedford mother lord grey ruthen time k richard brother edward d yorke lionel plantagonet sonne edward d clarence earle philip daughter heire married edward mortimer earle march yorke henry plantagenet grandchild edmond crouchbacke sonne henry richard plantagenet father edward d yorke albumarle earle cambridge rutland march clare thomas plantagen
5,1,isantony fled amaz d men wiues children run fates dye time drawing dayes men cuts yeares life cuts yeares fearing death grant death benefit friends abridg d time fearing death stoope romans bathe hands blood elbowes swords walke forth euen market place wauing red weapons o heads s peace freedome liberty stoop ages lofty scene acted ouer state vnborne accents vnknowne times bleed pompeyes lye worthier oft knot d men gaue country liberty forth euery away brutus leade grace heeles hearts rome comes heere friend antonies brutus bid kneele mark antony bid fall downe bad brutus noble valiant mighty 
5,2,romans countrey men louers heare youmay heare beleeue honor honor beleeue awake better iudge deere friend brutus loue friend demand brutus cae lou d lou d rome li uing dye slaues dead liue free men lou d weepe fortunate reioyce valiant honour ambitious teares loue ioy fortune honor valour death ambition heere bondman offended heere rude roman offended heere vile loue countrey offended reply brutus offended brutus death inroll d capitoll glory extenuated worthy offences en forc d death heere comes body mourn d marke antony hand death receiue nefit dying place monwealth depart louer rome dag ger
5,3,wee l bring withshowts clamors country men peace brutus peace ho countrymen depart heere antony grace corpes grace speech tending glories marke antony allow d intreat depart saue till antony stay ho heare mark antony publike chaire wee l heare noble antony brutus beholding does brutus brutus findes beholding twere harme brutus heere tyrant s certaine rome rid peace heare antony gentle romans peace hoe heare friends romans countrymen lend ears bury euill men liues oft enterred bones noble brutus ambitious greeuous fault d heere vnder leaue brutus brutus honourable honourable m n funerall friend
6,1,loue power ouer rul e king finding honest meane estate rayse poore vertue great nobleman newes emperour electors arriu d health maiestie seate france welcome hither mightinesse arriu d germany thanke king iohn saxon mentz trier rest louing friend warre counsell counsell great friend war preuaild thrice welcome storme kept ouerlong sea mighty king france worse stormes shake helpe things backwards bode conqueror haughty palsgraue england sayld ioyne edward ouerthrow felt valour english king sonne blacke prince deceased witnes poytiers cressey blood royall sau d clay moyst showers temper dry eart
6,2,lord guise vnderstand gathered power men intent lear n presume traitor crowne france gospell sake popes sake owne benefite peere france aspiring guise durst armes kings consent challenge treason cause ah base epernoune highnes heere shouldst perceiue d guise mou d patient guise threat epernoune perceiue king france mou d prince valoyses line therfore enemy burbonites iuror holy league therfore hated protestants stand guarde able hoast pay able maintaine hoast pay liuest forraine exhibition pope king spaine frends france knowes poor duke feed golde counter maund check freends lord plainely anim
6,3,cast lord maine france armie health strong broke warre leaue s paul burgundie bare pigscoate shroud heraulde soueraigne derauld lewes french king denounce sterne warre c possession realme france defie boldly voice fierce thunder affright soule derauld gone breath percing lightning words death liedge resolude hie sound drum set forward power france ere long expect dreadfull hower english standard downe till empale temples crowne heraulde england pleased heare message brought king prepare aduisde speech english heraulde right gratious christian king france presence vnpreparde message royall lied
7,1,flie cruell behold death behold dart pierce woful grieues cruell nimph thinkes halfe dead worke belong behold fatall dart death merited boldly loue loue villain act loue t tiue laid hold action villanie eu n commodious meanes bold lawes loue quake louer blind deeds teeth pray loue makes blind prayers fine conceits thefts louers hunger hunted woods breakes forth way onely beauteous eyes liue foode forbad crueltie fate louer woods long wretched health loues blame nimph cruell blame praiers conceits true loues attend bereau d meanes loue leaue follow flies vaine t onely time daine heare ere wretc
7,2,nature truth w ould euer happie eu n true almightie makers blind mortalls deep guilded painted tire naked walkes seeking loue fond witcht hart dead beautie rich loues follies true liuely loue want loue requires therfore amorous onely loues againe onely worthie louing paine pretie thing delicate vermilion faire cheeke prou d right happie louers againe dead vaine beautie kist againe inamour d lips mouth mouth loues vengeance true equall wills euer againe fills curious mouth daintie hand brow demand woman saue mouth liuely meet making liue rubres kindly entergreet enter little great things bewray
7,3,butlaunce notable louer knew notable lubber foole meant meant hot louer care burne loue ale hebrew iew worth charity ale leaue iulia loue faire siluia wrong friend ev n powre gaue oath prouokes fold periurie loue bad loue bids o loue d teach tempted adore twinkling starre sunne vn heedfull vowes heedfully broken wants wit wants learne wit t exchange bad better fie fie vnreuerend tongue bad oft preferd confirming oathes leaue loue leaue loue loue iulia valentine keepe needs finde valentine iulia siluia deerer friend loue precious siluia heauen faire shewes iulia ethiope forget iulia aliue remem
8,1,thebes amphions lute stoopes heavenly magicke yourvoyce world praises children truth blush nature defective queene naples punish flattery young outgrow vanity mercifull octavio incourage love place borne subjects answer respects forbeare question waite kisse hand power prevaile favour king addresse court transform d thinkes state glory title affects hope person s lovely charme expect royall presence behave lookes declares himselfe madam admit lord trouble m physicke observ d frame excuse ladies presse visite duke duke florence princes neglected gives accesse attend acknowledgments favours mada
8,2,accesse joy righted beene pleasd heare counsell rep ented st advise duke young apt erre preserve hospitable lawes affront openly thought prudence loose suspitions descant peoples tongues aire dangerous search dukes bosome spring dishonour mistake philoberto secret consellour receiver thoughts leave manage great worke way angle heart meane time pleas d keepe person retired silent discontent fright arme knowledge wise montalto honest counsell obey lose time pretious essence concern d minute brings fresh seige montaltoes life s philoberto conscious accusation princesse remov d delayes fatall poys
8,3,rest granted does l ove montalto truth y condition confirmes busie search unwelcome certainties s hope things clouded suspition jealousie wound honour cure knowledge t meane time dwell honest silence possest secret follow challenge bosome confident highnesse stere resolutions honour prince sacred lord montalto comming try informe time appeare obey honour d lord noble hilberto duke youle excuse minuts duty attend princesse lord princesse health m inward counsell duke resolute aske grace intends present visit mention lordship beare company knowes command services deserve love pray lord m plaine 
9,1,reward indu deckt bright robes keepe seate tweene dayes ho nour dedicated worthy page duplicate page duplicate sonnes citty society truth honour den right wor society grocers gouernment times armes ex ample encouragement vertuous time honour antiquity antient memorable worthy grocers com pany andrew bockrill maior london yeare henry continued mayor yeares gether greater honour com pany fame noble allen la zouch grocer maior london fiftieth yeare henry allen la zouch gouernement time maioralty king henry baron realme lord chiefe england famous worthy thomas knoles grocer twice maior honorable c
9,2,diuers sea fights actiuely performed e againe gallant hauing indian page atten ding laden ingots golde sil delued earth manner march land indian king queene beeing mounted golden leopardes draw goodly triumphal chariot landeth lord maior baynards leofstane gold smith bare authoritie london guarded halber diers martiall gouernment ended conducteth lord maior worthy train till comes ancient toombe monument apt place appointed ordered triumphall chariot performe thereto appointed chariot king richard cordelion king iohn brother kingdome atten ding vertue richard gaue lon dignity lord maior reduci
9,3,londini artium scientiarum scaturigo londons fountaine arts sciences triumphs pageants showes initiation right honorable nicholas raynton maiorty famous farre renowned city london charge expence laborious proiects wa ter land vndertaking right company written thomas hayvvood redeunt spectacula c oncerning dignity place magnificence inauguration equaling precelling famous maxim granted thing omit worthy remarke iudicature borne sword famous flo citty breathed ayre county lincolne deriue iohn stock ton mercer borne l maior nicholas ald win mercer borne spalding l maior william rennington l maior
10,1,n names comprehended witnesse degree wrong suffer d hope best exeunt vvhy slow rest trouble death stoppe wretches breath calls offers sad heart prey dart young faire bold sorrow mad old deform d wrinkl d craue quiet graue liue happy hold long life iewell cruell end tedi u miserie soone cease strike strike home pit y vn o short hours delay tyrannie dying swan sad tune sing owne dirg requiem follow penitence despaire brittle glasse life broken misery long quiet sleepe death welcome wee end pilgrimage fit wee leaue corruption foule sinnes behinde wash d feete hands heathens dare enter prophane te
10,2,m nster seene lillie hands tremble aspen leaues lute silken strings delight kisse w ould tucht life heard heauenly harmonie vvhich sweete tongue dropt knife fell sleepe cerberus thracian poets feete f ther blind sight blind fathers eie houres storme drowne fragrant meades vvhat mo ths teares fathers eies drawe backe mourne mourning ease miserie heare graue fathers noble tribunes stay pittie age youth spent dangerous warres whi st securelie slept blood roomes great quarrell shed frostie nights watcht bitter teares filling aged wrincles cheeks pittifull condemned sonnes vvhose soules corrupted t
10,3,death death stil sight lucre seald drops melting gold accusing rust cals eternal flames consume wi cold sorrow addes sulphur furies heat chops yee chattering teeth beat sulphur snow flame frost hideous crieng cause die euer dying paine diminish increase sorrow slacke cease sorrow ceaseth shame shal begin wallow sencelesse sin ladies drawen den open aire mittigate mone conscience sit downe sweating stone flint loue serue seate ladie lucre stone rest ladies leaue mourne moane shal absent exit comfort sorrow past sorrow remaines ioy blast blast wind worldes felicitie blasting wind miserie o consc
11,1,t payne great way greater alledge mater denyal loue payne moue wherin treuth contrary playne ofte thyng payne worde hopyng bryng hopyng endyng grefe paynefull relefe payne thyng forget hyde partely coulde payne payne compare partely loued whome treuth loue maner l euery worde parte nyps eares rons harte loke pale vnneth dare eares towarde eye whan eye thought streyght hart payne augmentyth tale ofte alas importune exclamacions fortune thyng deth brought place content graunt coulde craue deth coulde tale purporteth hearyng complaynt onely grefe alas tender hart dye payne payue perceyue hearyng 
11,2,lye bothe lady lyed affyrmynge lye true lyes parte adew andyf wyn auaunt yll perceyue wordes gaue taketh knaue tolde true lyed dede knowe procede began affyrmed lye fayth euen truely thought affyrmacion true mary knewe thynke thought contrary contrary thynke trouth vary wordes thought lyed thought god dyed twayne eche layde lyed reuelayd twayne denyed affyrmed lyed trouth confes lye witnes twayne thre agree lyer wynner coulde prouyde euydens pretens thynketh mater gyue iudgement gyue perceyue knaues lye nother lyed vntryed nothynge geuen hyrynge therfore waye wherby thre myndes eche tale merue
11,3,mary ledyth nag welcome welcome welcome ben behynde behynde euyn gether welcome euyn hyther syns fynde byd welcome hyther broche mater wherfore hyther approche wherin hope mynde euery face euer pyte pore mans beyng mater ryght fole iudge ryght doubt howe wyt ryght helpe helpe nede helpe thynke dere hart twayn twayn payne payne procure betwene great conflyct twayn payne betwene twayne twayne remayne wherin debated trueth gredyly grated affeccion eche o ur owne nedes prouyde coulde indyfferent iudgement wherupon lacke iudge place places coulde mete medyll tyll met gentylman whome errand lacke ay
12,1,intreat highnesse reioice fortune giues opportunity gaine tytle conquerour curing maimed emperie affrike europe bordering land continent dominions easely mightie hoste passe graecia cyrus cause withdraw forces home subdue pride christendome menaph means trumpets sound behold lord ortigius rest bringing crowne emperour magnificent mightie prince cosroe persean states commons mightie monarchie present emperiall diadem warlike souldiers gentlemen heretofore fild persepolis affrike captaines taken field whoose ransome martch coates gold costlie iewels hanging eares shining stones loftie crestes li
12,2,bassoe lord maister knowes meane meet bithynia comes tush turkes ful brags menace wel performe meet field fetch alas poore turke fortune weake t incounter strength tamburlaine view camp indifferently doo captaines souldiers looke meant conquer affrica men valiant number terrefie mightie hoste lord great commander worlde fifteene contributorie kings armes thousand ianisaries mounted lusty mauritanian steeds brought war men tripoly thousand footmen seru d set battels fought grecia expedition war garrisons withdraw follow brings greater spoile perish warlike hands meane seate footmen steeds rifle
12,3,renowmed emperour mighty callepine gods great lieftenant ouer world alepo hoste men lies tamburlaine king persea number quyuering leaues idas forrest whe highnesse hounds open crie pursues wounded stag meanes gyrt natolias walles siege towne ouerrun land royal army great bounds phrigia sea washeth cyprus brinish waues couers hils valleies plaines viceroies peeres turky play men whet swords mangle tamburlain sonnes captaines followers mahomet shal liue field wherin battaile fought euer terme perseans sepulchre memorie victory cals scourge ioue emperour world earthly god shal end warlike progres
13,1,dull honest soules heauie brainde men swallowed bogs deceitfull ground whilest nimble bloods light ioynted spirits spent cut goo d mens throates scape alas honest age fleame heauie steddines e stood slaue cast noose stand honour euen slic d heart erre sorry erre dead duke hates princes groundly hate prouide die sure fate preuention heart pollicie murder instantly instantly castes plot blaze honours knowne blot lets murther yee duke medices florence friend court faction meanely strengthfull duke dead preparde change multitude irresolutely reeling inforce partie seconded kingdome mazde doubt swi
13,2,quake appeard iustly feard learning weds starswere locks threaten great mens heads read lords grace showes great anger dos grace s comfort lord times seemes threatnes fardest faith lord r gracefully establisht loues subiects naturall death hope threescore years comming true threescore years fourescore hope lord fiuescore hope lord nere die hand rebuke hopes sittest duke sit places lords ready sports set thing forget quite anon heare comming lord ah brothers bastard dance hell marke thunder dost kue big voyc st cryer dukes groanes thunders watch words lords ynough lets away lingring follow powe
13,3,pa rdon therevpon graced tooke fauour euen claspd alas night night lustfull twines duke tooke sad truth o god o god dull honest soules heauy braind men swallowed bogs deceitfull ground nimble bloods light iointed spirits pent cut mens throats scape alas honest age fleame heauy steddinesse stood slaue cast noose stand honor euen slic d hart erre sorry erre dead duke hates whome princes groundly hate prouide dye sure fate preuention hart pollicie murder instantly instantly casts plot blaze honours knowne blot lets murther duke medices florence friend court faction meanly strength duke dead prepa
14,1,bondage base slauery seemes seruitude freely gaze vncontrold o n smile il e empresse ore triple world beauteous queenes east west lydians vassails fellow slaues lord loue vassailage affection emperious queene tyranize ore captiue hercules madam dukes greece attend craue captiue theban admit pompe beauty loftiest slaue businesse thehan hercules twas remain d omphale lydian queene omphale alcides queene lydia vassaile lords stoope slaue kisse foot omphale wonderous alteration till trusted report false scarcely beleeue eyes lady purpose hercules shew behold greekes taske alas hercules base effemi
14,2,welcome guift hercules iason s fleece laomedon s white steeds ioue grace eternity stand pillars non vltra insculpt reare pyrene hils gades spaine alcides vtmost bounds shirt welcome present deyianeira deerely loue lychas hand wee sacrifice peace iupiter hercules himselfe newes glad deyaneiraes heart sight inrage faire omphale dead honours reuiues greece echoe fame present loue witnesse heauen earth peeres greece wed ornament loue remembrance sit neere thousands roabe cleaue ioues altar kneele peace heauen attone beauteous dyaneira chast wife cast away loue omphale princes greece assist thought
14,3,womanish tyres m ore againe omphale charge wee l second thoughts alcid s heare fauour madam spake deianeira s voyce tha cals home dry widowed teares bring comfort olate bed deianeira heare hercules omphale trouble twas alcides womanish deianeira wiues sake renown d greece strumpet greece forget quite scarce remember thebes wont triumph glories silent tyrants euery beginne oppresse thinking alcides dead fame s strumpet theban hercules deyaneira faire chast absolute perfections liue despis d thebes ioue rend eies sotted loue omphale transhapt deepely iniur d shake effeminacy deeds repurchase ren
15,1,lay thought fathers saw glorious citty light earth tower nations sodainly falling flame imagine view d countrey buried heapes slaughter d citizens graue lentulus raigning dreamp t purple senate catiline fierce army cries matrons flight children rape virgins shriekes liuing dying grones euery t inuade sense blood rome mixed ashes spectacle fiends intended malice bene braue consul bene long quite defeated oration slit fine rhetoricall pipe scene insolent monster fathers pleasures committed safe free custodie senate determine farder pleaseth marcus crassus charge gabinius send home house caesar s
15,2,title flattering senate honor basemultitude worthy catilines anger stop stop portentous mouth looke dead restraine monster parricide butcher traytor leaue senate gone banishment fathers thrust head long forth stil dost murmure monster guiltier burne funerall pile sayes fiend matter timber sing scrich owle imperfect thoughts common owne fall ere fall h lost hope vnlesse presently armes blow consuls forces leuie d vvhat pleasure fathers common wealth receiue losse commit care thereof consuls time need thanks frequent senate decree curius fuluia consul meete t ey m st receiue reward t knowne stat
15,3,sloth hate wardise traytors houses stand fearing hem hem loose send hem armes mercie turne miserie soone t o great men offended ambition spare honor themselues spar d fame modestie god spare hem things stand fathers spare men commit greater wickednesse reuenge beene time place repair d fault beene punishment felt tardie error necessitie bids hem liue houre meane rome liue day cato spoken oracle decreed fearefull beene base vertue rais d forth worthy consul wee assist chang d sentence fathers matter letters caesar hem read open senate fathers conspirators craue hem read republique cato reade lo
16,1,worke priuate thoughts instant time alt er corruption vniuersall wrought impossible naturall plots effects brought mischiefe shame spring fall vse power bring forth meant men wonder craft forth worke honor lust malice sow loue vnworthinesse feare safe iust wrong clothed powers comelinesse wit play faith glory mistrust duty religion ghesse furies stirre warre follow things corrupt doublenesse vice vice error multiply vncouth sinnes murthers adulteries incorporate kindes iniquity translate state forraigne tyrannies keepe downe best worst power warre hell deuoure alaham heli coward soule standst 
16,2,ro sten dar st dutie lawes mer cie st destroy loue murther die ioy solyman beene best fortune safe safe state preserue haste state ill deserue occasion glorious euen requir st fall states common destinie states trespasse tyrants swarue bring empires age death making truth princes breath monarchie rose industrie honor held vniuersall fame stirring mens mindes strange audacitie great ends procur d armies greater enemies iniurie blame worth proud authoritie wise owne tyrannize d humor dotard king swolne practise long gouernment staine publike ill managing honor layd sleepe fame vnbent end powers 
16,3,forcing catch winde mans nature minde subduing christians conquer lose vse loth suffer fond zeale pray conquering armies pay christians faine lacke power modestie great states safely manage things danger seemes thrones pettie kings sicke sense euery breath shunne feele feare death strong states stormes feele health purgings spoyle infections stealth play sunne motes mans small world great world worke heauy doome proofe behold solyman feare torrid zones tyrannie beare lost mans nature passion world better fashion credit giues limitlesse suspition vice giueth condition confusions orbe men hate o
17,1,et que nouellys nescey speke wyth wyth folkys wyth slepe euerychone euer dwell wether slepe n mary whan rapped dore semeth slepe bed wyth strange myschefe hore wold fyre wer tayll god auow nedeth ys hote almes cold water fyre quenche yt ys warm wenche strete supposed angred yll rang knyll waked slepe gaue pele frendys soulys myght hard noys poulys farthest ende chepe saw wold feace knok rap styll gate opened wyndow andput forth hed hens xl d iak noble ys bed o standeth wynd cold quod q tytle bry gere wyde cam thens great pace tyll cam hyder lo ys case hyde ys forgo ys remedy lo worldly affeccy
17,2,e kyng endure contynuall besynes vsed therto doubtles shuld lyue yere folowed sure ut sure saw pere wene nothyng hand therto wrs ys nede seruauntys true iust yt wold theym trust quyte e mede shuld attend whan set ease whyche belongeth ease meaneth ete drynk slepe play labour parde ydell quyete shuld body laboreth hakney bareth burdon euery day pytye yt ys mynde syde idell vnoccupyed wys yt greueth demeaned wyse trow set couetyse cou tyse ys thyng greter cure stycketh mynde sure thought rode wyst myche som thyng o wryng chere syghyng thyng ys mater pray hartely wys canst deuyse remedy wyth wyt 
17,3,ys enuy ys called dysdayn glotony felyshyp ys taken slouth old forsaken fayre shapen euer coulde ordayn ys called ease ryght confortable tothe blod specyally theym luste amonge wold vnderstode lechery ys called lust lo fayre names parde honest semeth theyre condycyons ery iust theyre condycyons best wyse kepe styll theyre old gyse warantyse gr t maruay couetyse shuld dwell company trouth thyng ensure faythfully espyed derto mayster setteth store councell lore mary whan hed waxeth hore shalbe season folow couetyse way day euen hard mayster fayth sayd reason remanent retayned sure yt ys mater vn
18,1,againe god vengeance lost female hate spring betwixt names die house suruiues children seuen yeares olde strike kniues hell gape quick charg d sorrow losse ne cause doubt al sword breath minute longer hold neede sword b false blood inhumane murderer pacified run mile finde sister desperate grace violence rob life soule danger comfort s retir d life preethee stand defend wretched life doubt heere worthy lord behold breast fram d sisters loue hew strike stock gone cause liu d false dissembler married behold yonger brother drest woman guld world intended happier euent follow d gone fond experimen
18,2,old cleon fat vnweldy sh souldier desire excusde home suite grissell spider fingers hold sword rule slaues home yerke conscience proue iustice warre desires burthens way aydes lead fairest temple pay sacrifice gods successe great actions wish d course run allowance begun exeunt slaues stay cymbrio gracculo businesse meet morrow night neere groue neighbouring east citie bring rest condition impart breake fetters dare second wee l fayle cart rope binde home t prosper exeunt looke sprightfully shrinke shoulders olde tough steele backe wasted stocke strength feather beds heer s arme s stuffe t hop
18,3,light bra ine s breathe censure heauen strike wife faith wel knew stroake proue worst vse letters worke blood new create fault alas alas honesty seene known obserue owne courses wi l denote saue speech marke continues sorry deceiu d seene euer heard euer suspect seene cassio saw harme heard sillable breath betweene whisper lord send o way fetch fan mask gloues lord s strange durst lord wager honest lay downe soule stake remoue thought abuse bosome wretch head heauens requite serpents curse honest chaste true s happy purest sex foule slander bid hither sayes s simple bawde subtle whore closet l
19,1,bird cage comedie beene presented phoenix drury lane author iames shirley servant majesty iuven satyra et spes ratio studiorum caesaretantum london printed b alsop t fawcet william cooke sold shop neere furnivals inne gate holborne t fame candor innocent love learning especially musicall humane knowledge poetry particular concernes stage scene heare having lately written tragedie iustly cha nge dedication early desire congratulate happy retirement poeme tempt faire circumstance title delight imitation ingeniously fancied elegant ap pos te names owne compositions health s sicknesse vnloveliness
19,2,wittie faire comedie presented private house drvry lane maiesties servants iames shirley men moveat cimex pantiluis aut crucier quod vellicet absentem demetri teque tigelli discipulorum inter iubeo plorare cathedras london printed b t f cooke sold shop neere furnivals inne gate halborne s ir candide censure vnwor poems presented world long seruant thoughts vnwilling rest long silent contemplation noblenesse presumed send comedy kisse hand degree greater happinesse particular knowledge wanted grace stage appeare accep table new trimme presse im prooue abroad oblige author acknowledge fauour app
19,3,wedding lately acted maiesties seruants phenix drury lane written iames shirley gent multa que pars mei vitabit libitinam london printed iohn groue sold shop furniualls inne gate holborne s ir worth honor greatnesse patron comedy com ming forth ayre summer desireth walke vnder shaddow world oweth perpetuall remembrance excellency musicall arte poesie singular iudgement affection encouraged dedication transgresse yond candor passed stage doubt receiue kinde welcome beene pleas d ac knowledge author inforc d rapture high swelling phrase onely gaudy ignorance amaze conceites yeelde iudicious writ
20,1,lawes broken destytute fredome hygh decaye tyll sonne ded ma nys rau paye whan angell heauen paradyse laweshad broke lawe wycked satha impugned lawes craft subtyle practyse sayd eate sayd woma eate dye godes lawdes proued true sathans lawe false dayly rue lete tha beware lawes neglect angell gaue lyberte onlye fell becommynge frowarde sect mocyon owne vanyte gaue felycyte abused perpetuall euyll mortall angell lose fro fal loue towardes moch better lawe nature teache lorde god knowe ryght charge enforce wayes lawe moses christes lawe fynally rayse saue perpetuall glory exyle teacher thre ages 
